BTC-GBP,Bitcoin GBP,40659.65,-2077.73,-4.86%,758.708B,41.169B,41.169B,41.169B,18.66M,nan,nan
ETH-GBP,Ethereum GBP,1279.25,-54.42,-4.08%,147.292B,18.803B,18.803B,18.803B,115.14M,nan,nan
BNB-GBP,BinanceCoin GBP,188.99,-5.69,-2.92%,29.205B,1.366B,1.366B,1.366B,154.533M,nan,nan
USDT-GBP,Tether GBP,0.7209,-0.0057,-0.79%,28.489B,60.033B,60.033B,60.033B,39.517B,nan,nan
ADA-GBP,Cardano GBP,0.8671,-0.0551,-5.98%,27.702B,3.188B,3.188B,3.188B,31.948B,nan,nan
DOT1-GBP,Polkadot GBP,26.69,-1.8,-6.31%,24.615B,1.557B,1.557B,1.557B,922.158M,nan,nan
XRP-GBP,XRP GBP,0.3684,0.017,+4.85%,16.725B,5.764B,5.764B,5.764B,45.404B,nan,nan
LTC-GBP,Litecoin GBP,141.04,-6.7,-4.53%,9.407B,2.126B,2.126B,2.126B,66.7M,nan,nan
LINK-GBP,Chainlink GBP,21.05,-1.46,-6.48%,8.727B,805.494M,805.494M,805.494M,414.51M,nan,nan
USDC-GBP,USDCoin GBP,0.7208,-0.0058,-0.79%,7.085B,919.485M,919.485M,919.485M,9.829B,nan,nan
