BTC-GBP,Bitcoin GBP,42248.8,"+2,120.51",+5.28%,788.234B,43.661B,43.661B,43.661B,18.657M,nan,nan
ETH-GBP,Ethereum GBP,1313.87,+36.98,+2.90%,151.22B,18.055B,18.055B,18.055B,115.095M,nan,nan
ADA-GBP,Cardano GBP,1.0071,+0.1325,+15.15%,32.174B,7.179B,7.179B,7.179B,31.948B,nan,nan
BNB-GBP,BinanceCoin GBP,196.11,+13.33,+7.30%,30.306B,1.766B,1.766B,1.766B,154.533M,nan,nan
USDT-GBP,Tether GBP,0.7165,-0.0038,-0.53%,27.849B,67.901B,67.901B,67.901B,38.869B,nan,nan
DOT1-GBP,Polkadot GBP,25.98,+0.22,+0.86%,23.927B,1.411B,1.411B,1.411B,921.073M,nan,nan
XRP-GBP,XRP GBP,0.3419,-0.0010,-0.31%,15.523B,2.702B,2.702B,2.702B,45.404B,nan,nan
LTC-GBP,Litecoin GBP,147.4,+4.87,+3.42%,9.828B,2.984B,2.984B,2.984B,66.677M,nan,nan
LINK-GBP,Chainlink GBP,21.55,+1.60,+8.03%,8.9B,1.762B,1.762B,1.762B,413.01M,nan,nan
BCH-GBP,BitcoinCash GBP,386.5,+9.62,+2.55%,7.221B,1.898B,1.898B,1.898B,18.682M,nan,nan
